52018,libssl.x509_get_subject_name #52
52034,libssl.x509_set_issuer_name #56
52084,libssl.x509_set_version #58
520a1,libssl.x509_sign #59
520b9,libssl.evp_sha256 #9
5210d,kernel32.DeleteCriticalSection #263
52123,kernel32.CloseHandle #129
52138,kernel32.CloseHandle #129
52d32,libssl.i2d_x509 #11
52e5b,libssl.crypto_free #2
5323c,user32.GetSystemMetrics #1934
53492,ws2_32.WSAAddressToStringW #43
536f2,ws2_32.inet_addr #11
53727,ws2_32.htons #9
537d0,ws2_32.WSAGetLastError #111
53850,ws2_32.accept #1
53871,kernel32.CreateThread #234
53897,kernel32.CloseHandle #129
538f5,wininet.InternetSetOptionA #334
53a74,shlwapi.PathRemoveFileSpecW #734
53bb4,kernel32.WaitForSingleObject #1452
53c14,kernel32.Sleep #1363
53c40,kernel32.Sleep #1363
53c6c,kernel32.Sleep #1363
53c83,kernel32.DeleteFileW #268
53d0b,kernel32.WaitForSingleObject #1452
53efa,kernel32.GetTempPathW #741
53f54,kernel32.CreateDirectoryW #180
5421b,kernel32.InitializeCriticalSection #841
54414,kernel32.CreateThread #234
5480e,libssl.d2i_x509 #4
54f6a,kernel32.WideCharToMultiByte #1486
55ce0,kernel32.InitializeCriticalSection #841
55cf6,kernel32.CreateEventW #184
55e49,ws2_32.select #18
55e86,ws2_32.WSASetLastError #112
55ef1,ws2_32.WSAIoctl #78
56e4e,shlwapi.StrCmpNIA #847
57107,libssl.ssl_set_fd #40
57128,libssl.ssl_set_verify #41
5714a,libssl.ssl_set_accept_state #37
57162,kernel32.GetTickCount #757
5717e,libssl.ssl_do_handshake #27
5719e,libssl.ssl_get_error #31
571d5,kernel32.GetTickCount #757
571f5,kernel32.Sleep #1363
57224,libssl.ssl_get_servername #32
576a4,libssl.ssl_free #28
576c2,libssl.ssl_ctx_free #21
577a2,libssl.ssl_ctx_new #22
577ba,libssl.sslv23_method #45
577d4,libssl.ssl_ctx_set_client_cert_cb #24
577f7,libssl.ssl_new #34
57922,shlwapi.PathRenameExtensionW #736
57973,kernel32.GetFileAttributesW #567
57996,kernel32.GetFileAttributesW #567
579d2,kernel32.MoveFileExW #971
57afc,crypt32.CryptUnprotectData #1250
57ce7,ws2_32.inet_addr #11
57d3e,ws2_32.htons #9
57d78,kernel32.SetEvent #1265
57e3a,advapi32.RegOpenKeyExW #1646
57e61,advapi32.RegQueryValueExW #1659
57e9a,advapi32.RegCloseKey #1597
581a5,libssl.ssl_ctx_new #22
581bd,libssl.sslv23_method #45
581de,libssl.ssl_ctx_callback_ctrl #19
581fc,libssl.ssl_new #34
58345,libssl.ssl_read #35
58379,libssl.ssl_get_error #31
58454,libssl.ssl_get_servername #32
584d2,libssl.ssl_use_certificate #42
584f6,libssl.ssl_use_privatekey #43
58547,libssl.ssl_set_fd #40
58568,libssl.ssl_set_connect_state #39
58586,libssl.ssl_ctrl #18
585c9,kernel32.GetTickCount #757
585ee,libssl.ssl_do_handshake #27
58607,libssl.ssl_get_error #31
58631,kernel32.GetTickCount #757
5865b,kernel32.Sleep #1363
586c3,kernel32.VirtualAlloc #1436
586ef,kernel32.VirtualAlloc #1436
58c92,kernel32.GetTempPathW #741
58cb0,shlwapi.PathAddBackslashW #612
58f67,kernel32.VirtualFree #1439
59225,zlib1.inflateInit2_ #57
592f9,zlib1.inflate #50
593a6,zlib1.inflateEnd #55
593d5,zlib1.inflateEnd #55
59492,kernel32.VirtualQuery #1444
59504,kernel32.WaitForSingleObject #1452
5953e,shell32.SHGetFolderPathW #385
595d4,kernel32.FindFirstFileW #373
59617,kernel32.FindNextFileW #385
596bf,kernel32.GetFileAttributesW #567
596fc,kernel32.FindClose #362
597c8,kernel32.Sleep #1363
59819,kernel32.TerminateProcess #1378
5982e,kernel32.CloseHandle #129
598ad,kernel32.Sleep #1363
598da,kernel32.CopyFileW #167
5991d,kernel32.GetLastError #594
59981,sqlite3.sqlite3_open #133
599b4,sqlite3.sqlite3_prepare #139
59a12,sqlite3.sqlite3_step #189
59a53,sqlite3.sqlite3_step #189
59a80,sqlite3.sqlite3_column_text #57
59a9b,sqlite3.sqlite3_column_text #57
59b49,sqlite3.sqlite3_column_bytes #41
59b6c,sqlite3.sqlite3_column_blob #40
59cd5,sqlite3.sqlite3_finalize #100
59cf9,sqlite3.sqlite3_close #36
59d10,kernel32.GetFileAttributesW #567
59d2e,kernel32.DeleteFileW #268
59dbf,wininet.FindNextUrlCacheEntryW #173
59df4,wininet.FindNextUrlCacheEntryW #173
